no,group,key,ja,en,zh
234013,,f302,会員登録日,会員登録日,会員登録日
234014,,f303,ログイン者数,ログイン者数,ログイン者数
234015,,f304,参加数 / 率,参加数 / 率,参加数 / 率
234016,,f305,新規参加者数,新規参加者数,新規参加者数
235001,freemoney.php,kh01,無料課金通貨変動履歴,無料課金通貨変動履歴,無料課金通貨変動履歴
235002,,kh02,履歴がありませんでした。,履歴がありませんでした。,履歴がありませんでした。
235003,,gs01,時間集計,時間集計,時間集計
235004,,gs02,集計日時,集計日時,集計日時
235005,,gs03,入手総額,入手総額,入手総額
235006,,gs04,使用総額,使用総額,使用総額
235007,,gs05,消耗総額,消耗総額,消耗総額
235008,,gs06,加算額合計,加算額合計,加算額合計
235009,,gs07,減算額合計,減算額合計,減算額合計
235010,,kr01,区分集計,区分集計,区分集計
235011,,kr04,入手総額,入手総額,入手総額
235012,,kr05,使用総額,使用総額,使用総額
235013,,kr06,消耗総額,消耗総額,消耗総額
235014,,f2001,指定条件での対象ユーザ数,指定条件での対象ユーザ数,指定条件での対象ユーザ数
235015,,f2002,指定条件での総販売件数,指定条件での総販売件数,指定条件での総販売件数
235016,,f2003,指定条件での総販売額,指定条件での総販売額,指定条件での総販売額
235017,,f2004,平均単価,平均単価,平均単価
236001,realmoney_payment.php,kh01,両替履歴,課金履歴,両替履歴
236002,,kh02,課金履歴がありませんでした。,課金履歴がありませんでした。,課金履歴がありませんでした。
236003,,gs01,時間集計,時間集計,時間集計
236004,,gs02,集計日時,集計日時,集計日時
236005,,gs03,購入総額,購入総額,購入総額
236006,,gs04,使用総額,使用総額,使用総額
236007,,gs05,消耗総額,消耗総額,消耗総額
236008,,gs06,加算額合計,加算額合計,加算額合計
236009,,gs07,減算額合計,減算額合計,減算額合計
236010,,gr01,商品,商品,商品
236011,,gr02,販売数,販売数,販売数
236012,,gr03,販売額,販売額,販売額
236013,,f2001,指定条件での購入ユーザ数,指定条件での購入ユーザ数,指定条件での購入ユーザ数
236014,,f2002,指定条件での総販売件数,指定条件での総販売件数,指定条件での総販売件数
236015,,f2003,指定条件での総販売額,指定条件での総販売額,指定条件での総販売額
236016,,f2004,平均単価,平均単価,平均単価
236017,,goods_group,商品グループ,商品グループ,商品グループ
237001,realmoney_trade.php,kh01,両替履歴,課金履歴,両替履歴
237002,,kh02,課金履歴がありませんでした。,課金履歴がありませんでした。,課金履歴がありませんでした。
237003,,gs01,時間集計,時間集計,時間集計
237004,,gs02,集計日時,集計日時,集計日時
237005,,gs03,購入総額,購入総額,購入総額
237006,,gs04,使用総額,使用総額,使用総額
237007,,gs05,消耗総額,消耗総額,消耗総額
237008,,gs06,差額,差額,差額
237009,,l003,商品別集計,商品別集計,商品別集計
237010,,gr01,商品,商品,商品
237011,,gr02,販売数,販売数,販売数
237012,,gr03,販売額,販売額,販売額
237013,,f2001,指定条件での購入ユーザ数,指定条件での購入ユーザ数,指定条件での購入ユーザ数
237014,,f2002,指定条件での総販売件数,指定条件での総販売件数,指定条件での総販売件数
237015,,f2003,指定条件での総販売額,指定条件での総販売額,指定条件での総販売額
237016,,f2004,平均単価,平均単価,平均単価
237017,,goods_group,商品グループ,商品グループ,商品グループ
238001,realmoney_trade.php,gh01,販売履歴,販売履歴,販売履歴
238002,,gs01,販売集計,販売集計,販売集計
238003,,gs02,日時,日時,日時
238004,,gs03,購入,購入,購入
238005,,gs04,消費,消費,消費
238006,,gs05,期限切れ,期限切れ,期限切れ
238007,,gs06,消費量,消費量,消費量
238008,,gs07,購入量,購入量,購入量
239001,realmoney_payment.php,gh01,販売履歴,販売履歴,販売履歴
239002,,gs01,販売集計,販売集計,販売集計
239003,,gs02,日時,日時,日時
239004,,gs03,購入,購入,購入
239005,,gs04,消費,消費,消費
239006,,gs05,期限切れ,期限切れ,期限切れ
239007,,gs06,消費量,消費量,消費量
239008,,gs07,購入量,購入量,購入量
300001,LogConfDefault,1,ログ発生日時,ログ発生日時,ログ発生日時
300002,,2,プラットフォーム種別,プラットフォーム種別,プラットフォーム種別
300003,,3,UID,UID,UID
300004,,4,ユーザID,ユーザID,ユーザID
300005,,5,キャラクターID,キャラクターID,キャラクターID
300101,LogName,launch,起動,起動,起動
300102,,begin,開始,開始,開始
300103,,continue,継続,継続,継続
300104,,regist,登録,登録,登録
300105,,unregist,解約,解約,解約
300106,,login,ログイン,ログイン,ログイン
300107,,chara_create,キャラクター作成,キャラクター作成,キャラクター作成
300108,,chara_delete,キャラクター削除,キャラクター削除,キャラクター削除
300109,,kakin,課金アイテム購入,課金アイテム購入,課金アイテム購入
300110,,shop,非課金アイテム購入,非課金アイテム購入,非課金アイテム購入
300111,,gacha,ガチャ,ガチャ,ガチャ
300112,,item_act,アイテム変動,アイテム変動,アイテム変動
300113,,step,進行状況,進行状況,進行状況
300114,,friend,フレンド,フレンド,フレンド
300115,,chat,チャット,チャット,チャット
300116,,realmoney,リアルマネー,リアルマネー,リアルマネー
300117,,event_step,イベント進行状況,イベント進行状況,イベント進行状況
300118,,invite,友達招待成立,友達招待成立,友達招待成立
300119,,invite_item_post,招待アイテムポスト,招待アイテムポスト,招待アイテムポスト
300120,,invite_item_receive,招待アイテム受け取り,招待アイテム受け取り,招待アイテム受け取り
300121,,invite_ticket_give,招待チケット付与,招待チケット付与,招待チケット付与
300122,,invite_ticket_pay,招待チケット消費,招待チケット消費,招待チケット消費
301000,LogConf,_dummy.1,dummy,dummy,dummy
307006,,regist.6,広告コード,広告コード,広告コード
309006,,login.6,サーバID,サーバID,サーバID
310006,,chara_create.6,セーブスロットID,セーブスロットID,セーブスロットID
310007,,chara_create.7,キャラクター名,キャラクター名,キャラクター名
311006,,chara_delete.6,セーブスロットID,セーブスロットID,セーブスロットID
312006,,kakin.6,アイテムID,アイテムID,アイテムID
312007,,kakin.7,購入個数,購入個数,購入個数
312008,,kakin.8,決済額,決済額,決済額
312009,,kakin.9,決済番号,決済番号,決済番号
313006,,shop.6,アイテムID,アイテムID,アイテムID
313007,,shop.7,購入個数,購入個数,購入個数
313008,,shop.8,決済額,決済額,決済額
314006,,gacha.6,ガチャ種類,ガチャ種類,ガチャ種類
314007,,gacha.7,ガチャID,ガチャID,ガチャID
314008,,gacha.8,出力品ID,出力品ID,出力品ID
314009,,gacha.9,消費課金ポイント,消費課金ポイント,消費課金ポイント
314010,,gacha.10,消費ゲーム内通貨,消費ゲーム内通貨,消費ゲーム内通貨
314011,,gacha.11,使用チケットID,使用チケットID,使用チケットID
314012,,gacha.12,使用チケット枚数,使用チケット枚数,使用チケット枚数
314013,,gacha.13,無料フラグ,無料フラグ,無料フラグ
314014,,gacha.14,コンプリートフラグ,コンプリートフラグ,コンプリートフラグ
315006,,item_act.6,変動種別,変動種別,変動種別
315007,,item_act.7,アイテムID,アイテムID,アイテムID
315008,,item_act.8,アイテム数,アイテム数,アイテム数
315009,,item_act.9,アイテムシリアルコード,アイテムシリアルコード,アイテムシリアルコード
315010,,item_act.10,行動内容,行動内容,行動内容
315011,,item_act.11,取引価格,取引価格,取引価格
315012,,item_act.12,相手ユーザID,相手ユーザID,相手ユーザID
315013,,item_act.13,相手キャラクターID,相手キャラクターID,相手キャラクターID
316006,,step.6,ステップ,ステップ,ステップ
317006,,friend.6,フレンド申請状態,フレンド申請状態,フレンド申請状態
317007,,friend.7,相手ユーザID,相手ユーザID,相手ユーザID
317008,,friend.8,相手キャラクターID,相手キャラクターID,相手キャラクターID
318006,,chat.6,発言内容,発言内容,発言内容
318007,,chat.7,サーバ,サーバ,サーバ
318008,,chat.8,エリア,エリア,エリア
318009,,chat.9,x,x,x
318010,,chat.10,y,y,y
318011,,chat.11,z,z,z
318012,,chat.12,発言種別,発言種別,発言種別
318013,,chat.13,発言対象,発言対象,発言対象
319006,,realmoney.6,リアルマネー取引額,リアルマネー取引額,リアルマネー取引額
319007,,realmoney.7,取引タイプ,取引タイプ,取引タイプ
320006,,event_step.6,ステップ,ステップ,ステップ
320007,,event_step.7,イベントID,イベントID,イベントID
330006,,invite_ticket_give.6,チケットID,チケットID,チケットID
340006,,invite_ticket_pay.6,チケットID,チケットID,チケットID
